date,Iprec
120519871300,0.23333
130519870100,0.43333
130519871300,3.08333
140519870100,0.7
140519871300,0.06667
150519870100,0.09167
150519871300,0
160519870100,0.15833
160519871300,0.85
170519870100,0
170519871300,0
180519870100,0
180519871300,0
190519870100,0
190519871300,0.09167
200519870100,0.20833
200519871300,0
210519870100,1.05833
210519871300,0.38333
220519870100,0.40833
220519871300,0.34167
230519870100,0
230519871300,0
240519870100,0
240519871300,0
250519870100,0
250519871300,0.23333
260519870100,0
260519871300,0
270519870100,0
270519871300,0.25833
280519870100,0.45
280519871300,0.01667
290519870100,0
290519871300,0
300519870100,1.125
300519871300,0.04167
310519870100,0.29167
310519871300,0
10619870100,0.45
10619871300,0.61667
20619870100,0.24167
20619871300,0
30619870100,0
30619871300,0.29167
40619870100,0.09167
40619871300,0.53333
50619870100,0.70833
50619871300,0.50833
60619870100,0
60619871300,0
70619870100,0
70619871300,0
80619870100,0.09167
80619871300,0.76667
90619870100,0.76667
90619871300,0.04167
100619870100,0.19167
100619871300,0
110619870100,0
110619871300,0
120619870100,0
120619871300,0
130619870100,0
130619871300,0
140619870100,0
140619871300,0
150619870100,0
150619871300,0.275
160619870100,0.61667
160619871300,0.725
170619870100,1.175
170619871300,0
180619870100,0
180619871300,0.11667
190619870100,0.04167
190619871300,0.08333
200619870100,0.325
200619871300,0.075
210619870100,0.375
210619871300,0
220619870100,0.34167
220619871300,0.30833
230619870100,0
230619871300,0
240619870100,0
240619871300,0.04167
250619870100,0.29167
250619871300,0
260619870100,0
260619871300,0.25
270619870100,1.075
270619871300,0
280619870100,0
280619871300,0
290619870100,0
290619871300,0
300619870100,0
300619871300,0
10719870100,0
10719871300,0.05
20719870100,0.03333
20719871300,1.45833
30719870100,0.36667
30719871300,0.03333
40719870100,0.99167
40719871300,0.03333
50719870100,0
50719871300,0
60719870100,0
60719871300,0
70719870100,0
70719871300,0
80719870100,0
80719871300,0
90719870100,1.00833
90719871300,0.35833
100719870100,0.04167
100719871300,0
110719870100,0
110719871300,0
120719870100,0
120719871300,0
130719870100,0.46667
130719871300,0.03333
140719870100,0
140719871300,0
150719870100,0.48333
150719871300,0.06667
160719870100,0.45833
160719871300,0.13333
170719870100,0.3
170719871300,0
180719870100,0
180719871300,0.58333
190719870100,0.425
190719871300,1.75
200719870100,0.19167
200719871300,0
210719870100,0
210719871300,0.63333
220719870100,0
220719871300,0
230719870100,0
230719871300,0.51667
240719870100,0
240719871300,0.425
250719870100,0.28333
250719871300,0.28333
260719870100,1.34167
260719871300,0.73333
270719870100,0.675
270719871300,0
280719870100,0.38333
280719871300,0.29167
290719870100,0.15
290719871300,0.04167
300719870100,0.15833
300719871300,0.2
310719870100,0.70833
310719871300,0
10819870100,0
10819871300,0.23333
20819870100,0.43333
20819871300,0.20833
30819870100,0.30833
30819871300,0
40819870100,0.03333
40819871300,0.3
50819870100,0.2
50819871300,0.50833
60819870100,0.23333
60819871300,0
70819870100,0
70819871300,0
80819870100,0.325
80819871300,0
90819870100,0
90819871300,0
100819870100,0.69167
100819871300,0
110819870100,0
110819871300,0
120819870100,0
120819871300,0
130819870100,0.54167
130819871300,0.83333
140819870100,0
140819871300,0.2
150819870100,0.95833
150819871300,1.34167
160819870100,0.025
160819871300,0
170819870100,0.44167
170819871300,0
180819870100,0
180819871300,1.26667
190819870100,0.53333
190819871300,0
200819870100,0
200819871300,0
210819870100,0
210819871300,0
220819870100,0
220819871300,0
230819870100,0
230819871300,0
240819870100,0
240819871300,0.04167
250819870100,1.38333
250819871300,1.35
260819870100,0
260819871300,0.09167
270819870100,0
270819871300,0
280819870100,0.14167
280819871300,0.025
290819870100,0.03333
290819871300,0
300819870100,0
300819871300,0
310819870100,0
310819871300,0
10919870100,0
10919871300,0.05
20919870100,0.225
20919871300,0.18333
30919870100,0.26667
30919871300,0
40919870100,0
40919871300,0
50919870100,0
50919871300,0.04167
60919870100,0.16667
60919871300,0.94167
70919870100,0.10833
70919871300,0
80919870100,0
80919871300,0.3
90919870100,0
90919871300,0
100919870100,0
100919871300,0
110919870100,0
110919871300,0.05833
120919870100,0.00833
120919871300,0
130919870100,0
130919871300,0
140919870100,0
140919871300,0
150919870100,0
150919871300,0
160919870100,0
160919871300,0
170919870100,0
170919871300,0
180919870100,0
180919871300,0
190919870100,0
190919871300,0
200919870100,0
200919871300,0
210919870100,0
210919871300,0
220919870100,0
220919871300,0
230919870100,0
230919871300,0
240919870100,0
240919871300,0
250919870100,0.03333
250919871300,0
260919870100,0
260919871300,0.29167
270919870100,1.25
270919871300,0.69167
280919870100,0
280919871300,0
290919870100,0
290919871300,0
300919870100,0
300919871300,0
11019870100,0
11019871300,0
21019870100,0
21019871300,0
31019870100,0
31019871300,0
41019870100,0
41019871300,0
51019870100,0
51019871300,0
61019870100,0.20833
61019871300,0.18333
71019870100,0.03333
71019871300,0.14167
81019870100,0
81019871300,0
91019870100,0.06667
91019871300,0
101019870100,0.175
101019871300,0
111019870100,0.45
111019871300,0.875
121019870100,0.91667
121019871300,0.475
131019870100,0.45
131019871300,0
141019870100,0
141019871300,0
151019870100,0.15833
151019871300,0
161019870100,0.11667
161019871300,0
171019870100,0
171019871300,0
181019870100,1.05
181019871300,0
191019870100,0
191019871300,0
201019870100,0
201019871300,0
211019870100,0
211019871300,0
221019870100,0
221019871300,0.08333
231019870100,0.20833
231019871300,0.11667
241019870100,0.275
241019871300,0
251019870100,0
251019871300,0.03333
261019870100,0
261019871300,0.05833
271019870100,0.05833
271019871300,0
281019870100,0
281019871300,0
291019870100,0
291019871300,0
301019870100,0
301019871300,0
311019870100,0
311019871300,0
11119870100,0
11119871300,0
21119870100,0.39167
21119871300,0.18333
31119870100,0.175
31119871300,0.13333
41119870100,0
41119871300,0
51119870100,0
51119871300,0
61119870100,0
61119871300,0
71119870100,0
71119871300,0
81119870100,0
81119871300,0
91119870100,0
91119871300,0
101119870100,0
101119871300,0
111119870100,0.18333
111119871300,0.29167
121119870100,0
121119871300,0
131119870100,0
131119871300,0.39167
141119870100,0.75833
141119871300,2.01667
151119870100,0.58333
151119871300,0
161119870100,0
161119871300,0.11667
171119870100,0.05833
171119871300,0.66667
181119870100,1.2
181119871300,0.64167
191119870100,0.33333
191119871300,0
201119870100,0.26667
201119871300,0.975
211119870100,0.75
211119871300,0.725
221119870100,0.49167
221119871300,0.03333
231119870100,0
231119871300,0.19167
241119870100,0.325
241119871300,2.05
251119870100,1.09167
251119871300,0.24167
261119870100,0.575
261119871300,0.41667
271119870100,0.03333
271119871300,0.375
281119870100,0.50833
281119871300,0.09167
291119870100,0.08333
291119871300,0
301119870100,0.1
301119871300,0.19167
11219870100,0.14167
11219871300,0
21219870100,0
21219871300,0
31219870100,0
31219871300,0
41219870100,0
41219871300,0
51219870100,0
51219871300,0
61219870100,0.18333
61219871300,0.25
71219870100,0.3
71219871300,0
81219870100,0.175
81219871300,0.01667
91219870100,0
91219871300,0
101219870100,0
101219871300,0
111219870100,0
111219871300,0
121219870100,0
121219871300,0
